"year","mean_aflatoxin","median_aflatoxin"
2016,9.69,0
2017,1.59111111111111,0
2018,0.346571428571429,0
2019,1.4125,0
2020,2.87625,0.01
2021,6.61845070422535,0
2022,0.812676056338028,0
2023,3.72333333333333,0
2016,8.27194444444445,0
2017,4.38763888888889,0
2018,1.81957142857143,0
2019,4.51194444444444,0.005
2020,3.22972222222222,0
2021,7.48042253521127,0
2022,2.50338028169014,0
2023,23.5677777777778,0
2016,0.288333333333333,0.005
2017,3.18541666666667,0
2018,0.798857142857143,0
2019,3.69569444444444,0
2020,3.25402777777778,0
2021,2.18281690140845,0
2022,6.25774647887324,0.01
2023,16.1366666666667,0
2016,0.97,0
2017,13.4683333333333,0
2018,5.72128571428571,0
2019,7.55583333333333,0
2020,0.836111111111111,0
2021,3.98281690140845,0
2022,14.4356338028169,0
2023,21.8530555555556,0
2016,0.511111111111111,0
2017,1.63222222222222,0
2018,2.22328571428571,0.005
2019,0.638055555555555,0
2020,6.75861111111111,0
2021,2.66338028169014,0
2022,7.59718309859155,0.01
2023,2.8825,0
2016,2.43555555555556,0
2017,2.27708333333333,0
2018,1.10228571428571,0
2019,1.55069444444444,0
2020,3.10013888888889,0
2021,4.96577464788732,0
2022,0.58112676056338,0
2023,4.12944444444444,0.01
2016,10.1419444444444,0
2017,6.17541666666667,0
2018,5.69242857142857,0.01
2019,18.9283333333333,0
2020,10.3895833333333,0
2021,1.2012676056338,0
2022,11.9367605633803,0
2023,0.9075,0.025
2016,1.30027777777778,0
2017,1.30041666666667,0
2018,2.761,0
2019,1.62875,0
2020,17.8131944444444,0
2021,3.7969014084507,0
2022,1.32718309859155,0
2023,1.26416666666667,0
2016,0.373333333333333,0
2017,2.02555555555556,0
2018,1.01342857142857,0
2019,3.31486111111111,0
2020,2.89888888888889,0
2021,12.9597183098592,0.02
2022,4.15478873239437,0
2023,5.27333333333333,0
2016,0.620555555555556,0
2017,2.00958333333333,0
2018,4.28042857142857,0
2019,2.16902777777778,0
2020,2.07013888888889,0
2021,1.51281690140845,0
2022,1.10098591549296,0
2023,6.68083333333333,0
2016,0.608611111111111,0.025
2017,22.7065277777778,0
2018,1.01014285714286,0
2019,7.74611111111111,0
2020,21.6269444444444,0
2021,1.90140845070423,0
2022,6.52,0
2023,3.10138888888889,0
2016,0.425833333333333,0
2017,1.80097222222222,0
2018,2.65057142857143,0
2019,2.12638888888889,0
2020,1.27236111111111,0
2021,9.69070422535211,0
2022,9.88267605633803,0
2023,2.19916666666667,0
2016,0.611944444444444,0
2017,1.41319444444444,0
2018,5.07,0
2019,2.08222222222222,0
2020,2.28916666666667,0
2021,2.17577464788732,0
2022,19.6652112676056,0
2023,16.0708333333333,0
2016,1.32944444444444,0
